id,phoneme,time,duration,F0,F1,F2,F3,F4,F5
14,\hs,14.794232982426077,0.05810194247904654,117.96828612881062,351.74125494290746,1280.424699078488,2440.5857061166284,3345.7947518232404,4172.389671661346
14,\hs,14.804232982426077,0.05810194247904654,114.52497306301005,320.0680632091518,1266.3862965643677,2429.910791013592,3337.9297988104554,4828.539613951643
15,a,18.419791371002287,0.10024181284846634,101.13939786551198,640.0310086144505,1276.8809184974432,2376.6752313249735,3451.9125122411915,--undefined--
15,a,18.429791371002285,0.10024181284846634,100.81649876392969,676.9900526351927,1320.6425811322856,2430.7146596348225,3503.391292759051,--undefined--
15,a,18.439791371002286,0.10024181284846634,100.45664780569459,700.4913545983178,1342.7340007179052,2440.5863598604365,3500.4125923262986,--undefined--
15,a,18.449791371002284,0.10024181284846634,100.38089960826932,707.54717093111,1357.3001741712844,2395.699363425144,3524.331645235181,--undefined--
15,a,18.459791371002286,0.10024181284846634,101.02746632725713,701.0819582698311,1372.0820417226942,2350.5745932837126,3501.6418144449717,--undefined--
15,a,18.469791371002284,0.10024181284846634,102.30536617935306,688.2395660552448,1383.1525835963425,2302.507399288431,3481.4840367372312,--undefined--
15,a,18.479791371002285,0.10024181284846634,104.40130192618247,667.4358521959376,1405.7754429512095,2256.9948027694745,3460.6516355942176,--undefined--
15,a,18.489791371002283,0.10024181284846634,107.35341005438173,612.0498218817504,1433.273410411658,2228.7304800027205,3798.5112191859016,3946.5411084055827
15,a,18.499791371002285,0.10024181284846634,111.95317234984283,511.00678666251076,1473.7883620310058,2151.9018450121616,3600.579638458996,4147.764394490822
15,a,18.509791371002287,0.10024181284846634,114.9607949925046,434.5962332786304,1510.2899943052598,2284.8520520171933,3476.1173323143103,4174.851648564173
15,a,18.519791371002285,0.10024181284846634,116.415100847166,373.369128481773,1545.6847361910868,2231.426999763875,3377.127887450279,4237.74811026047
16,\hs,18.705193220322442,0.07853339477937382,126.61278432407836,389.4308985032593,1337.8599711655386,2413.518779990075,3311.7408334455645,4199.482568106416
16,\hs,18.71519322032244,0.07853339477937382,121.07914924701608,384.3615530405248,1313.6396570934705,2421.853490478957,3347.225071433285,--undefined--
16,\hs,18.725193220322442,0.07853339477937382,119.10030253706422,376.38131076785567,1307.5624479465673,2411.21617060691,3344.036427965616,--undefined--
16,\hs,18.73519322032244,0.07853339477937382,117.58529311208596,362.16645750703236,1319.5590230472446,2424.5442530774963,3331.5874781914763,--undefined--
16,\hs,18.74519322032244,0.07853339477937382,116.47133117884141,355.5866784020737,1354.5996459265536,2437.6768961081534,3217.4604026901575,--undefined--
16,\hs,18.75519322032244,0.07853339477937382,115.80524470794077,353.3132207094761,1374.2574604413774,2468.749836936705,3344.5109533202017,4071.6943735827494
16,\hs,18.76519322032244,0.07853339477937382,115.35839658401927,359.25745632204917,1381.3846892277547,2540.3450836347115,3517.798866906345,--undefined--
16,\hs,18.77519322032244,0.07853339477937382,114.94999347447136,364.8732810443346,1410.1477662330938,2632.29560649991,3600.310574998557,--undefined--
17,\ef,20.389157810027633,0.11109602188301437,130.3351094448238,413.30444589723,1614.3755677579115,2413.684700666883,3409.1929694148066,--undefined--
