id,phoneme,time,duration,F0,F1,F2,F3
71,o,74.07618069167906,0.08914203347377736,117.06083394457157,458.6976952990153,837.436915524169,2500.540132992432
72,5,74.30484615748598,0.09832636419531582,117.30092177035104,446.6769116654351,1549.1955013594506,2217.6232171715055
73,E,76.25624542765581,0.11291324240011134,106.06806491986137,539.68379304205,1643.9026837579045,2588.885639468778
74,I,76.4485655437479,0.0713136267790162,115.8577363757542,439.19820638949983,1714.513752477051,2485.4926009508818
75,E,78.49546044484727,0.09670559995034013,112.404685719512,497.0673760866814,1618.8890024307302,2414.9817892048336
76,I,78.70236743914415,0.05402547483258502,117.6410195758472,406.7929109701489,1704.1964116930649,2514.75689914304
77,e,80.67875613500199,0.08968228822210733,111.24972455635164,429.001412401598,1861.4906326951684,2583.9873455258207
78,5,80.97832210579273,0.06320980555413769,117.75382159874741,463.22821166163664,1551.42049843038,2396.659313029148
79,o,82.87636794197337,0.11939629938002838,124.43467576876401,426.32512987196344,1027.2016532292732,2449.941907224913
80,U,83.07963086029703,0.08590050498382595,125.11493539890938,388.91219175437004,1248.8426218766788,2282.5746832638238
82,5,85.51348354189182,0.08968228822209312,131.3546426908411,475.27515798529487,1526.6456700438641,2393.4272493374224
83,e,87.37182128808442,0.09076279771875306,129.8845424837034,486.9342376420542,1654.6633745723516,2471.2871081475323
84,5,87.57954395165979,0.0713136267790162,136.2430841758384,453.64869036762786,1515.0111995054015,2425.652593352701
85,e,89.43667997657259,0.09022254297042308,115.53861980710533,442.01643012075374,1685.9304379196114,2427.275719469607
86,U,89.6651971608025,0.05402547483259923,124.03995662245268,373.84380321589697,1413.4061905031926,2442.98556168854
87,o,91.509749529158,0.0918433072153988,118.12329743651071,443.83748449020857,1015.1152223075715,2441.1907189903823
88,U,91.66641283186057,0.0578072580708664,124.10303232525357,421.02100796012314,1325.3123726462077,2348.26411267179
89,e,93.68413397655016,0.07617591951394331,116.89479851753438,435.4330813706989,1762.2613836943387,2451.1734284479903
90,I,93.85282059098095,0.04970343684598788,122.29580481106716,364.3143441392131,1786.495851357341,2522.039802433663
91,e,95.82652450857908,0.09130305246706882,119.55732431545334,448.1618604278995,1835.7504210942566,2599.2109725112173
92,I,95.99264755653331,0.0783369385072632,127.99552047158237,378.9169548439797,1757.207386790035,2426.4684635569984
93,a,98.02601134570169,0.06915260778571053,97.03021647692181,702.6527885835478,1344.3053955642495,2355.4200300850193
94,U,98.3111281455527,0.05078394634263361,122.88236001838688,384.24163700721715,1372.0192867913697,2289.536209050712
95,o,100.19457652921663,0.0664513340440891,119.17532941581335,418.05616190726664,821.7872879521266,2527.9111906424764
96,U,100.39041358832878,0.04916318209765791,119.39327074616912,387.7907518641674,1187.3089309809884,2294.086391451235
97,O,102.19567098849137,0.0783369385072632,113.1543003790631,497.61876957810694,1002.7202757046874,2472.1949967400283
98,5,102.43284049643543,0.042139870369425125,121.84632999898905,472.19626278484975,1470.6002948420614,2169.421917422417
99,a,104.31360642841065,0.10102763793693724,110.18993002349954,653.1241466283719,1412.4477988826995,2398.9175746580904
100,I,104.54671049084536,0.04159961562109515,124.24374335283191,362.96953698655597,1591.5860837641073,2572.6011123872604
101,i,106.398573427799,0.0626695508057935,119.31178158122243,299.1740433088889,2039.4493521453012,2880.5289718849967
102,U,106.64088889074907,0.06591107929575912,119.52974447257269,414.40065727429567,1282.9531577361988,2370.2504949262866
103,e,108.52419364597807,0.08698101448047169,119.59045249234457,402.40315145992116,1856.476812051781,2574.5939383704776
104,U,108.72151376207016,0.056186493825890686,124.89463110551122,370.54498975947115,1336.9333147076072,2319.448603932559
105,a,110.6966924889072,0.08806152397711743,113.75368447406412,705.5915574238098,1375.7780389388006,2453.431283156412
106,I,110.94479655134191,0.0578072580708664,126.67894857829265,379.19381933185866,1744.4289747597295,2317.4001723259694
107,a,112.86659710096704,0.08860177872544739,118.82546779036468,720.6219572736793,1311.8635506377445,2469.1638929587452
108,5,113.04338753662273,0.057807258070880614,122.74910517302548,523.4501748903618,1380.8668158470082,2414.2975850746225
109,i,115.05759998603337,0.0610487865608178,121.30671122133064,307.66710198721296,1985.0511704474807,2705.4662397701536
110,U,115.24006838370244,0.051324201090963584,130.3621675080191,374.6003513591502,1345.6750373501907,2261.9151096189653
111,o,117.34545442605595,0.06266955080580773,119.00315153706993,448.73204400309424,951.7471701535252,2551.6219290562
112,I,117.58735084604089,0.051324201090963584,118.53531114566321,400.97140999213275,1596.3551579085079,2567.0183542317636
113,o,119.5421270253947,0.051324201090949366,119.08773449590069,457.336313928615,1015.9150213827716,2610.5265224683394
114,I,119.73986026328197,0.051324201090949366,118.20008242484624,383.20053495239097,1609.8225468899154,2335.606945380123
115,i,121.70921739967065,0.07185388152734618,119.04005247573355,274.370510205519,1952.3960741679102,2811.816163798786
116,U,121.87817942863157,0.06212929605747775,121.48023866228736,381.33851310898336,1458.3134772857925,2291.5408270544754
117,a,123.9299389490368,0.11021196865847573,116.5040710370329,682.600722595085,1385.2647489634808,2476.7167365643163
118,5,124.1287421221088,0.07077337203068622,128.8650372282691,446.77334758966106,1496.984867646603,2529.6190987831487
119,a,126.17171753270487,0.08319923124219031,115.9888308749036,660.993022518868,1461.3906294124615,2376.646512004172
120,U,126.4114529336965,0.07779668375893323,127.84033287503932,427.7844988601014,1267.8818111779378,2413.402205422045
