id,phoneme,time,duration,F0,F1,F2,F3
68,i,73.0954867086025,0.077785133754091,166.816256282313,329.7396695272914,2111.1433782955846,2768.229661949476
69,U,73.2435672648869,0.04613463105414401,150.61997877129937,315.24275224422064,1745.45981626429,2308.6221005385146
70,O,75.00752566594231,0.11748237442859,147.902306277929,599.0046456745498,968.6502416439502,2386.156919925867
71,5,75.26328113142308,0.043452385062622,141.61658208284197,377.170747258074,1835.9226527353119,2566.5835496603017
72,e,77.03238866293916,0.091732812909996,142.60992862933932,446.88071879922865,2081.897783177886,2690.487849432677
73,5,77.2337702246235,0.040770139071114,154.25865844324682,428.7688433135142,1756.1459374104002,2688.7254844422
74,a,78.98399630804549,0.13572164717092502,149.4287065796875,730.4901084845993,1407.9915909452295,2316.0231901097854
75,5,79.1476750461857,0.045598181855851,151.9272278643218,493.62093173288423,1646.6164372624921,2765.5594485971355
76,o,81.01143582488044,0.150205775525137,169.54933345102216,424.49114913119257,939.9528994448173,2624.856238153464
77,U,81.1736977501935,0.047743978649052,154.59152676219742,335.8731641809424,1448.3380270792181,2504.076357808006
78,a,83.0038753417153,0.100316000082856,130.99932977587218,753.3102645837287,1410.3925739777574,2180.88986010566
79,U,83.19150175901149,0.035405647088068995,139.609551727745,352.1107604731155,1470.0594997945427,2394.5165538466154
80,U,85.17051005752509,0.052572021433803996,133.97502195939816,317.13783508035146,1588.9917519056235,2539.2921857056285
81,o,86.8339370969752,0.10192534767777803,145.42697770456218,433.2248953267119,728.2724760282715,2643.898441226655
82,U,87.0934477068441,0.030577604303332,138.90751769969177,293.866168492799,1674.6537654909548,2331.7475369953727
83,O,88.81191531221062,0.09977955088454901,143.4094369236974,648.3208649531191,1072.1773484137652,2244.07165977145
84,5,89.00507817870509,0.037014994682991,141.20399161138,380.944894320201,1739.1849341953875,2620.2768356085026
85,\~o,90.6518318887006,0.07081129417613902,130.91251950999165,510.9504907220171,815.9865112401947,2383.3895203392426
86,I,90.92580604937123,0.038624342277899,0.0,220.970930108259,1724.1686253786424,2793.070196682312
87,a,94.75909040903649,0.13679454556753995,130.45407140771937,739.476158712643,1497.6750088522033,2359.3414819653653
88,U,94.9290345803411,0.037551443881298996,138.62935371628726,308.61424636159177,1798.4513167505002,2711.2055342809676
89,e,96.8856628029999,0.055254267425326,138.55194616716548,422.7723227637129,2077.5689026568402,2652.807546834517
90,5,97.1413771133757,0.040233689872806996,152.6741996533512,404.20621849918336,1758.2966226474878,2655.950992487446
91,a,99.23761234051503,0.09870665248794804,144.4947103011077,748.9622943833385,1371.418241526298,2395.7866711476963
